No,car_type
1,SVW7180CEi
2,SVW7180CEi
3,SGM7252GL
4,SVW7182HFi
5,SVW7182CQi
6,SVW7182LFi
7,SGM6521ATA
8,SVW72010EJ
9,SCT6700RZB53L
10,DFL7162ACC
11,3C4PFABB
12,YQZ7204A
13,HKL6600Q
14,CSA7200ACV
15,SGM6521ATA
16,SGM6521ATA
17,SGM7247ATA
18,SCT6700RZB53L
19,SGM6529ATA
20,FV7241FCVTG
21,JX6593D-M
22,GFA7140AEAA
23,SGM7247ATA
24,SGM6529ATA
25,DFL7163AC
26,CSA7154TDPHEV
27,KLQ6856E3
28,SVW7183FJi
29,SH6530
30,SGM6521ATA
31,SGM6521ATA
32,SGM7247ATA
33,GZ6701W1
34,EQ7250AC
35,SGM6521ATA
36,HKL6600Q
37,CSA7250AA-DL
38,JX6593D2-H
39,YQZ7204A
40,SC6418HV4
41,CSA7154TDPHEV
42,JX6593D2-H
43,SGM6521ATA
44,JTEGD54M
45,SGM6521ATA
46,SVW6451BED
47,JX6477D-M
48,SGM6521ATA
49,SGM6529ATA
50,GZ6107F
51,SVW7183LJi
52,SGM7243ATA
53,SGM6521ATA
54,CSA7155TDPHEV
55,SCT6700RZB54L
56,SGM7306ATA
57,SGM6521ATA
58,NJ6593ER6
59,SGM6517GL8
60,JTEGD34M057
61,SGM6521ATA
62,SGM6520ATA
63,SH6530G4
64,1J8GC48K
65,CSA7154TDPHEV
66,GFA7140AEAA
67,SCT6700RZB53L
68,SGM6521ATA
69,FV7251BBCBG
70,DFL7162ACC
71,SGM7202SL
72,SGM7306ATA
73,YQZ7204A
74,3C4PFABB
75,GTM7240GB
76,SGM6529ATA
77,SGM6520ATA
78,KLQ6896E3
79,SGM7243ATA
80,SVW71612NS
81,HKL6540E4
82,DFL7163AC
83,JX6593D-M
84,TV7251RoyalNAVi
85,SVW71810DJ
86,SGM6520ATA
87,SGM6521ATA
88,KPD6612733P
89,CSA7250AB-GD
90,EQ7202BA
91,A6L2.4CVT
92,SGM6529ATA
93,DFL7162ACC
94,SVW7183LJi
95,GFA7140AEAA
96,SCT6700RZB53L
97,SGM6521ATA
98,JX6477D-M
99,KLQ6856E3
100,NJ6593ER6
101,SGM6521ATA
102,SGM6520ATA
103,SGM6521ATA
104,SGM7247ATA
105,SGM6521ATA
106,SCT6700RZB53L
107,GFA7140AEAA
108,DFL7163AC
109,SGM6510GL8
110,DFL7162ACC
111,JX6593D-M
112,SGM6521ATA
113,FA6501
114,SGM6529ATA
115,SGM6531ATA
116,SGM6520ATA
117,SGM6521ATA
118,SGM6529ATA
119,SVW71810DJ
120,SY6513W1S3BH
121,CAF6480A1
122,SH6530G4
123,SGM7247ATA
124,SGM6520ATA
125,NJ6593ER6
126,GZ6107F
127,SGM6521ATA
128,FV7187TFATG
129,SGM7187ATA
130,SGM6527AT
131,SGM6520ATA
132,SGM6529ATA
133,SVW71810HJ
134,SGM6521ATA
135,CAF7180B48
136,JX6593D2H
137,DFL7162ACC
138,SGM6521ATA
139,SY6513W1S3BH
140,SCT6700RZB53L
141,SVW6451MED
142,SGM6520ATA
143,CSA7180MC
144,FV7207TFATG
145,SGM6531ATA
146,SGM6520ATA
147,SGM6521ATA
148,SVW72010EJ
149,CAF7201A4
150,GZ6107F
151,SGM6529ATA
152,SY6521M1S3BG
153,CSA7250AA-DL
154,SGM6520ATA
155,SH6530
156,SGM6521ATA
157,FA6501
158,SGM7247ATA
159,SVW71810DJ
160,SGM6530ATA
161,SGM6520ATA
162,SGM6521ATA
163,KLQ6896E3
164,SVW71810DJ
165,SCT6700RZB53L
166,CAF7201A4
167,HFC6500A1F
168,CAF7206A
169,FV7241FCVTG
170,CAF6480A
171,SGM6520ATA
172,SGM6529ATA
173,FV7187TFATG
174,SGM6521ATA
175,SVW7283KKD
176,SGM6527AT
177,SVW7283KKD
178,SY6504KS3BH
179,SGM6521ATA
180,SGM6520ATA
181,SGM6529ATA
182,FV7241FCVTG
183,HKL6540E4
184,SGM7244ATA
185,FV7144LBMBG
186,GFA7140AEBA
187,SGM6515GL8
188,SGM6520UYAA
189,SGM7308ATA
190,SGM6531ATA
191,SGM6521ATA
192,SGM6520ATA
193,JX6641T-N3
194,SGM7247ATA
195,GFA7141AECA
196,SGM6529ATA
197,SGM6521ATA
198,FV7201BACWG
199,DMT5036TJC
200,SH6530G4
201,BJ7302L
202,SGM7206ATA
203,FV7201TFCVTG
204,SGM6520UYAA
205,WVWCJ57N
206,SGM6531ATA
207,SGM6529ATA
208,SGM6520UYAA
209,SGM7247ATA
210,FV7207TDQG
211,SGM6521ATA
212,SGM6520ATA
213,FA6520
214,DMT5036TJC
215,SVW7203UPD
216,SGM6531ATA
